year,sex,gdp_for_year ($),gdp_per_capita ($),generation
1985,male,"4,346,734,000,000",19693,G.I. Generation
1985,male,"4,346,734,000,000",19693,G.I. Generation
1985,male,"4,346,734,000,000",19693,Boomers
1985,male,"4,346,734,000,000",19693,Silent
1985,male,"4,346,734,000,000",19693,Generation X
1985,female,"4,346,734,000,000",19693,Silent
1985,female,"4,346,734,000,000",19693,G.I. Generation
1985,female,"4,346,734,000,000",19693,G.I. Generation
1985,female,"4,346,734,000,000",19693,Boomers
1985,female,"4,346,734,000,000",19693,Generation X
1985,male,"4,346,734,000,000",19693,Generation X
1985,female,"4,346,734,000,000",19693,Generation X
1986,male,"4,590,155,000,000",20588,G.I. Generation
1986,male,"4,590,155,000,000",20588,G.I. Generation
1986,male,"4,590,155,000,000",20588,Boomers
1986,male,"4,590,155,000,000",20588,Silent
1986,male,"4,590,155,000,000",20588,Generation X
1986,female,"4,590,155,000,000",20588,Silent
1986,female,"4,590,155,000,000",20588,G.I. Generation
1986,female,"4,590,155,000,000",20588,G.I. Generation
1986,female,"4,590,155,000,000",20588,Boomers
1986,female,"4,590,155,000,000",20588,Generation X
1986,male,"4,590,155,000,000",20588,Generation X
1986,female,"4,590,155,000,000",20588,Generation X
1987,male,"4,870,217,000,000",21631,G.I. Generation
1987,male,"4,870,217,000,000",21631,G.I. Generation
1987,male,"4,870,217,000,000",21631,Boomers
1987,male,"4,870,217,000,000",21631,Silent
1987,male,"4,870,217,000,000",21631,Generation X
1987,female,"4,870,217,000,000",21631,Silent
1987,female,"4,870,217,000,000",21631,G.I. Generation
1987,female,"4,870,217,000,000",21631,G.I. Generation
1987,female,"4,870,217,000,000",21631,Boomers
1987,female,"4,870,217,000,000",21631,Generation X
1987,male,"4,870,217,000,000",21631,Generation X
1987,female,"4,870,217,000,000",21631,Generation X
1988,male,"5,252,629,000,000",23103,G.I. Generation
1988,male,"5,252,629,000,000",23103,G.I. Generation
1988,male,"5,252,629,000,000",23103,Boomers
1988,male,"5,252,629,000,000",23103,Silent
1988,male,"5,252,629,000,000",23103,Generation X
1988,female,"5,252,629,000,000",23103,Silent
1988,female,"5,252,629,000,000",23103,G.I. Generation
1988,female,"5,252,629,000,000",23103,G.I. Generation
1988,female,"5,252,629,000,000",23103,Boomers
1988,female,"5,252,629,000,000",23103,Generation X
1988,male,"5,252,629,000,000",23103,Generation X
1988,female,"5,252,629,000,000",23103,Generation X
1989,male,"5,657,693,000,000",24654,G.I. Generation
1989,male,"5,657,693,000,000",24654,G.I. Generation
1989,male,"5,657,693,000,000",24654,Boomers
1989,male,"5,657,693,000,000",24654,Silent
1989,male,"5,657,693,000,000",24654,Generation X
1989,female,"5,657,693,000,000",24654,Silent
1989,female,"5,657,693,000,000",24654,G.I. Generation
1989,female,"5,657,693,000,000",24654,G.I. Generation
1989,female,"5,657,693,000,000",24654,Boomers
1989,female,"5,657,693,000,000",24654,Generation X
1989,male,"5,657,693,000,000",24654,Generation X
1989,female,"5,657,693,000,000",24654,Generation X
1990,male,"5,979,589,000,000",26004,G.I. Generation
1990,male,"5,979,589,000,000",26004,G.I. Generation
1990,male,"5,979,589,000,000",26004,Boomers
1990,male,"5,979,589,000,000",26004,Silent
1990,male,"5,979,589,000,000",26004,Generation X
1990,female,"5,979,589,000,000",26004,G.I. Generation
1990,female,"5,979,589,000,000",26004,Silent
1990,female,"5,979,589,000,000",26004,G.I. Generation
1990,female,"5,979,589,000,000",26004,Boomers
1990,female,"5,979,589,000,000",26004,Generation X
1990,male,"5,979,589,000,000",26004,Generation X
1990,female,"5,979,589,000,000",26004,Generation X
1991,male,"6,174,043,000,000",26503,G.I. Generation
1991,male,"6,174,043,000,000",26503,Silent
1991,male,"6,174,043,000,000",26503,Boomers
1991,male,"6,174,043,000,000",26503,Boomers
1991,male,"6,174,043,000,000",26503,Generation X
1991,female,"6,174,043,000,000",26503,Boomers
1991,female,"6,174,043,000,000",26503,Silent
1991,female,"6,174,043,000,000",26503,G.I. Generation
1991,female,"6,174,043,000,000",26503,Boomers
1991,female,"6,174,043,000,000",26503,Generation X
1991,male,"6,174,043,000,000",26503,Millenials
1991,female,"6,174,043,000,000",26503,Millenials
1992,male,"6,539,299,000,000",27760,G.I. Generation
1992,male,"6,539,299,000,000",27760,Silent
1992,male,"6,539,299,000,000",27760,Boomers
1992,male,"6,539,299,000,000",27760,Boomers
1992,male,"6,539,299,000,000",27760,Generation X
1992,female,"6,539,299,000,000",27760,Boomers
1992,female,"6,539,299,000,000",27760,Silent
1992,female,"6,539,299,000,000",27760,G.I. Generation
